O,D,V,Dis,Time
Z210,Z122,-0.166,2113,489
Z213,Z193,1.065,8074,1162
Z214,Z192,0.393,3849,720
Z214,Z249,-0.058,1023,239
Z214,Z262,0.396,1198,294
Z214,Z398,0.375,2459,363
Z215,Z201,0.412,3735,711
Z216,Z74,0.768,3863,631
Z216,Z127,1.338,3965,718
Z216,Z181,1.136,4372,775
Z216,Z192,0.482,3002,487
Z217,Z144,0.227,3544,577
Z218,Z40,0.581,3527,579
Z218,Z122,0.394,2017,371
Z219,Z181,1.828,5625,975
Z219,Z189,0.713,2467,521
Z220,Z42,0.329,4519,760
Z220,Z83,0.53,3246,609
Z220,Z136,1.211,11185,1271
Z220,Z150,1.306,4034,752
Z220,Z189,0.304,1658,326
Z220,Z196,0.852,8938,1408
Z220,Z236,0,0,0
Z220,Z352,0.813,7538,1159
Z220,Z367,0.456,2290,439
Z221,Z71,2.436,15662,1790
Z221,Z98,0.652,3782,655
Z221,Z131,0.327,3032,535
Z221,Z144,0.542,2424,472
Z221,Z181,1.274,5292,901
Z221,Z221,1.033,5939,1033
Z221,Z270,0.202,2417,410
Z221,Z275,-0.045,1344,313
Z221,Z327,0.103,1873,435
Z221,Z333,1.495,5280,849
Z221,Z337,2.227,5228,839
Z221,Z372,0.893,4763,735
Z221,Z402,0.726,4717,784
Z222,Z73,-0.058,2648,497
Z222,Z263,1.344,5469,998
Z222,Z313,1.187,7884,1379
Z222,Z327,2.411,11434,1694
Z222,Z339,0.555,3849,715
Z222,Z353,-0.049,786,219
Z222,Z365,1.159,8653,1227
Z222,Z397,0.838,964,206
Z223,Z363,1.02,983,202
Z224,Z9,1.066,6322,810
Z224,Z194,2.201,13625,1872
Z224,Z203,0.041,6806,1184
Z224,Z229,0.359,7661,1432
Z224,Z346,-0.072,4501,818
Z224,Z363,2.082,7748,1229
Z225,Z66,1.565,6111,887
Z225,Z280,1.338,3836,699
Z225,Z320,0.602,1496,284
Z226,Z133,0.548,1771,318
Z226,Z175,0.057,1663,304
Z226,Z325,1.003,2778,514
Z227,Z179,3.233,6983,1032
Z228,Z363,3.828,11129,1560
Z229,Z5,0.359,2622,357
Z229,Z9,0.561,2718,495
Z229,Z16,1.083,4164,680
Z229,Z36,0.053,1077,243
Z229,Z40,1.283,7644,906
Z229,Z68,0.796,5777,708
Z229,Z83,0.056,2323,457
Z229,Z120,2.475,12640,1453
Z229,Z140,0.636,3570,583
Z229,Z142,0.689,1729,333
Z229,Z209,0.722,1457,270
Z229,Z224,0.336,945,205
Z229,Z247,-0.761,7928,1729
Z229,Z293,1.494,15141,2757
Z229,Z321,-0.696,9528,2061
Z229,Z334,3.224,12006,1403
Z229,Z337,0.793,4448,596
Z229,Z346,1.743,8588,1077
Z229,Z350,-0.308,9902,1609
Z229,Z352,-0.914,5309,780
Z229,Z365,0.359,14946,1923
Z230,Z275,-0.97,4943,698
Z230,Z308,-0.905,6543,1030
Z230,Z337,-0.125,1135,219
Z231,Z94,3.086,17364,2020
Z231,Z96,-0.216,3297,677
Z231,Z193,0.596,3399,603
Z233,Z133,1.467,10966,1491
Z233,Z144,2.285,6062,1002
Z233,Z193,0.195,2182,446
Z233,Z275,0.861,8311,1482
Z233,Z337,1.097,1870,389
Z234,Z87,1.216,9620,1576
Z234,Z99,0.529,7714,1482
Z234,Z177,0.475,7200,1292
Z234,Z339,0.545,7380,1322
Z234,Z343,0.643,5035,888
Z234,Z353,0.268,6973,1101
Z235,Z213,2.752,10057,1770
Z236,Z36,0.481,2892,439
Z236,Z73,0.036,1937,417
Z236,Z129,1.788,4133,619
Z236,Z174,0.493,4442,634
Z236,Z191,1.434,3361,558
Z236,Z192,0.615,5919,744
Z236,Z193,-0.167,2049,394
Z236,Z220,0.715,6741,860
Z236,Z320,2.206,5198,682
Z236,Z394,1.069,8076,1149
Z237,Z6,0.667,7526,844
Z237,Z133,0.734,6347,842
Z237,Z140,0.013,2713,505
Z237,Z186,1.27,1356,278
Z237,Z259,0.983,2314,313
Z237,Z264,-0.209,2550,548
Z237,Z270,2.719,8076,1216
Z237,Z334,0.377,7573,895
Z237,Z336,-0.097,2398,524
Z237,Z341,1.756,4022,760
Z237,Z367,0.39,6838,923
Z237,Z397,0.006,4263,701
Z238,Z6,0.379,6900,842
Z238,Z12,0.604,2624,487
Z238,Z19,-0.113,3161,625
Z238,Z21,1.016,8244,1103
Z238,Z70,4.519,15761,2086
Z238,Z111,0.223,5174,956
Z238,Z133,13.057,21065,2123
Z238,Z141,0.831,5401,592
Z238,Z150,0.742,5411,811
Z238,Z186,0.652,4774,594
Z238,Z264,0.048,1219,360
Z238,Z267,0.104,1796,399
Z238,Z293,0.181,1279,277
Z238,Z348,0.9,6218,811
Z238,Z383,0.139,2121,510
Z239,Z35,2.836,15738,1848
Z240,Z72,-0.026,882,302
Z240,Z90,0.129,1784,446
Z240,Z119,0.291,1716,432
Z240,Z127,1.237,7886,963
Z240,Z193,1.501,6967,1210
Z240,Z296,0.444,3150,600
Z240,Z325,1.177,5265,950
Z240,Z385,0.97,5938,1019
Z240,Z397,1.055,6118,1040
Z241,Z139,0.63,3310,650
Z241,Z333,0.755,4747,837
Z241,Z361,0.284,4821,781
Z242,Z41,0.34,5425,855
Z242,Z89,0.06,3808,741
Z242,Z133,0.486,5923,1036
Z242,Z181,3.186,8691,1339
Z242,Z186,1.087,3319,651
Z242,Z192,3.342,7720,1018
Z242,Z193,0.07,981,224
Z242,Z247,0.919,3564,584
Z242,Z325,1.079,6424,799
Z243,Z156,0.084,1600,361
Z244,Z371,1.512,8203,989
Z245,Z146,1.593,7726,904
Z245,Z247,0.204,2928,477
Z246,Z79,0.573,2313,449
Z247,Z3,0.644,4575,923
Z247,Z10,0.747,4506,695
Z247,Z19,0.682,4444,776
Z247,Z68,0.256,796,206
Z247,Z100,0.556,3332,609
Z247,Z117,1.39,3545,732
Z247,Z156,0.26,2631,451
Z247,Z157,0.195,2368,442
Z247,Z186,1.972,6312,1023
Z247,Z187,0.159,1035,267
Z247,Z189,0.232,1756,315
Z247,Z191,0.402,4036,575
Z247,Z192,0.584,1810,385
Z247,Z193,0.124,2238,488
Z247,Z229,0.954,5887,786
Z247,Z242,3.364,7937,972
Z247,Z245,7.484,43860,3030
Z247,Z264,0.533,2312,484
Z247,Z265,2.23,13612,1265
Z247,Z276,1.004,5590,896
Z247,Z283,0.99,3083,569
Z247,Z317,1.734,9211,1087
Z247,Z320,0.278,3366,432
Z247,Z365,0.645,4292,709
Z247,Z368,1.648,7433,978
Z247,Z398,0.027,1143,231
Z248,Z19,1.398,7584,918
Z248,Z30,0.447,3432,601
Z248,Z38,0.229,3144,434
Z248,Z52,0.454,1781,347
Z248,Z73,0.658,4792,894
Z248,Z83,0.755,4725,657
Z248,Z97,0.688,4659,736
Z248,Z98,1.874,7476,987
Z248,Z121,0.214,2583,403
Z248,Z133,1.123,6185,855
Z248,Z156,0.692,2298,464
Z248,Z174,0.464,4163,605
Z248,Z181,0.565,3042,520
Z248,Z187,0.85,5091,806
Z248,Z189,2.529,12230,1368
Z248,Z191,0.801,5527,819
Z248,Z192,0.804,4868,793
Z248,Z193,0.297,4563,818
Z248,Z203,2.2,7685,1412
Z248,Z265,0.808,7378,1362
Z248,Z270,0.398,5232,869
Z248,Z284,0.731,5953,1003
Z248,Z296,0.059,1789,347
Z248,Z323,0.032,1979,365
Z248,Z327,0.197,2457,486
Z248,Z337,6.274,36234,2852
Z248,Z397,0.542,2254,392
Z249,Z123,1.83,12701,1253
Z250,Z36,1.307,3183,522
Z250,Z68,0.427,3212,540
Z250,Z183,2.758,5444,1144
Z250,Z191,0.191,775,148
Z250,Z264,0.398,3452,496
Z250,Z270,1.887,10379,1326
Z250,Z323,0.843,5183,835
Z250,Z324,0.533,4005,592
Z251,Z99,1.025,1360,307
Z251,Z161,1.639,6698,1058
Z251,Z275,0.431,3353,581
Z251,Z321,0.943,5147,766
Z251,Z331,3.253,6596,1028
Z251,Z337,-0.01,1238,299
Z251,Z383,0.28,1757,359
Z252,Z9,4.199,9799,1457
Z252,Z89,0.902,6915,719
Z252,Z118,0.076,2031,349
Z252,Z156,0.112,2340,418
Z252,Z179,2.648,15718,1729
Z252,Z184,-0.181,3800,865
Z252,Z350,0.413,4036,639
Z252,Z363,0.224,1960,442
Z252,Z397,0.015,5329,835
Z253,Z120,0.219,5979,987
Z253,Z156,0.398,3206,661
Z253,Z202,-0.238,4415,745
Z253,Z268,2.933,6493,1449
Z253,Z279,0.201,5231,886
Z253,Z334,0.425,7360,1078
Z253,Z368,0.135,1098,182
Z254,Z71,1.315,8408,1174
Z254,Z74,1.153,7301,1231
Z254,Z94,0.426,1035,216
Z254,Z95,1.145,6515,1104
Z254,Z187,0.515,4629,780
Z254,Z192,0.53,878,167
Z254,Z262,3.788,8897,1465.3
Z254,Z296,3.694,11032,1660
Z254,Z387,0.298,4600,737
Z254,Z389,0.23,4262,720
Z254,Z398,2.816,9574,1467
Z255,Z79,1.456,8822,1565
Z255,Z84,1.29,11305,1361
Z255,Z121,0.068,2869,429
Z255,Z154,-0.116,3844,545
Z255,Z309,1.577,10365,1257
Z255,Z320,0.145,7364,781
Z255,Z351,0.729,9921,877
Z256,Z12,0.814,6771,1044
Z256,Z140,-0.337,2211,323
Z256,Z156,0.417,3473,551
Z256,Z265,-0.066,4418,624
Z256,Z273,0.267,5010,771
Z256,Z337,1.164,8467,774
Z257,Z243,6.074,17660,1825
Z258,Z24,1.019,5371,1000
Z258,Z335,0.094,1382,295
Z259,Z21,0.455,2204,514
Z259,Z24,0.271,3416,539
Z259,Z98,0.338,2438,452
Z259,Z127,-0.139,1639,294
Z259,Z144,2.493,12024,1579
Z259,Z186,1.967,9716,1351
Z259,Z237,1.389,3245,630
Z259,Z270,0.053,1135,190
Z259,Z337,0.151,5877,1143
Z260,Z110,0.641,8107,1507
Z260,Z115,1.138,3298,528
Z260,Z144,0.193,1286,287
Z260,Z186,0.231,3374,639
Z260,Z203,1.253,7479,1191
Z260,Z326,0.251,2490,531
Z260,Z349,4.805,25669,2161
Z261,Z186,0.588,4139,915
Z262,Z126,0.524,3656,714
Z262,Z133,0.799,2355,394
Z262,Z254,2.53,10359,1419
Z262,Z276,1.584,8585,1203
Z262,Z363,1.09,6590,1018
Z262,Z381,0.944,5629,927
Z263,Z9,0.958,5163,936
Z263,Z79,4.463,8782,1226
Z263,Z110,2.565,14486,1181
Z263,Z121,0.494,2642,358
Z263,Z156,0.743,3969,402
Z263,Z161,0.179,1714,340
Z263,Z191,0.56,3342,405
Z263,Z192,2.445,6786,1000
Z263,Z222,4.016,9648,1230
Z263,Z260,0.295,1794,359
Z263,Z270,1.431,5405,790
Z263,Z322,0.554,2705,549
Z263,Z325,0.639,2885,570
Z263,Z363,2.399,6013,839
Z264,Z23,2.972,6752,984
Z264,Z65,0.647,2596,364
Z264,Z68,1.69,6059,888
Z264,Z90,0.735,3463,602
Z264,Z98,0.725,2866,430
Z264,Z127,4.187,10140,1288
Z264,Z138,1.2,4118,604
Z264,Z140,0.207,1792,392
Z264,Z150,2.784,5563,1024
Z264,Z154,1.348,3815,637
Z264,Z192,1.952,4690,810
Z264,Z193,0.371,1788,312
Z264,Z237,0.996,3838,634
Z264,Z238,1.495,4787,801
Z264,Z247,1.086,5449,734
Z264,Z250,0.894,5420,614
Z264,Z322,1.75,4788,668
Z264,Z325,0.579,1926,337
Z264,Z347,0.807,4183,788
Z264,Z365,3.871,8444,1224
Z264,Z367,0.605,2880,533
Z264,Z394,0.678,3469,564
Z265,Z36,1.199,4896,995
Z265,Z44,0.24,1261,268
Z265,Z68,0.937,3145,551
Z265,Z69,0.73,3652,690
Z265,Z77,0.525,1742,318
Z265,Z86,0.588,1962,341
Z265,Z89,1.88,7184,886
Z265,Z94,1.423,4366,786
Z265,Z101,0.718,2794,435
Z265,Z121,2.804,6889,1105
Z265,Z135,0.423,1778,366
Z265,Z142,0.73,2932,610
Z265,Z146,2.566,11269,1296
Z265,Z148,1.657,5434,945
Z265,Z153,0.539,2856,573
Z265,Z189,1.469,3776,623
Z265,Z193,1.167,6528,751
Z265,Z247,2.915,10618,1291
Z265,Z248,-0.462,2637,574
Z265,Z252,-0.403,3634,867
Z265,Z256,-0.153,5067,953
Z265,Z269,-0.437,3003,651
Z265,Z273,0.922,3391,680
Z265,Z317,0.155,1631,567
Z265,Z323,0,0,0
Z265,Z337,-0.25,4966,942
Z265,Z339,2.713,17062,2058
Z265,Z343,0.837,7500,1121
Z265,Z352,0.146,3193,527
Z265,Z363,-0.14,1735,384
Z265,Z402,0.927,3245,565
Z266,Z73,0.246,2542,503
Z266,Z102,1.011,8898,1239
Z266,Z175,0.466,4247,707
Z266,Z193,-0.115,4007,781
Z266,Z213,2.343,21604,1838
Z266,Z214,-0.157,1308,211
Z266,Z266,0.886,8632,1419
Z266,Z320,-0.291,4073,701
Z266,Z337,-0.044,8014,923
Z267,Z100,0.529,10358,1157
Z267,Z186,0.09,1958,410
Z267,Z203,-0.229,6172,897
Z267,Z238,0.373,10482,1181
Z267,Z260,1.535,3360,585
Z267,Z324,1.781,4325,732
Z267,Z349,2.416,14452,1468
Z267,Z389,1.05,5715,970
Z268,Z65,0.311,2104,353
Z268,Z140,0.209,2605,504
Z268,Z144,2.989,11433,1384
Z268,Z186,1.932,8829,1182
Z268,Z193,0.501,1602,249
Z268,Z253,0.734,4784,810
Z268,Z259,0.833,2637,342
Z268,Z343,0.88,2805,534
Z268,Z398,1.487,4825,746
Z269,Z44,1.008,5473,777
Z269,Z45,2.57,6072,952
Z269,Z54,2.795,3631,724
Z269,Z73,3.087,3205,669.3
Z269,Z79,2.559,10399,1168
Z269,Z91,0.143,1967,316
Z269,Z131,1.729,8461,1041
Z269,Z133,0.296,2273,408
Z269,Z189,0.936,2388,396
Z269,Z193,5.726,14688,1606
Z269,Z196,1.514,4145,633
Z269,Z224,1.919,8962,1066
Z269,Z244,0.655,4641,608
Z269,Z325,0.567,2396,454
Z269,Z338,1.009,5821,748
Z270,Z11,0.813,5267,920
Z270,Z12,1.11,1786,418
Z270,Z24,2.101,8105,1310
Z270,Z35,0.802,1185,281
Z270,Z82,1.268,1945,424
Z270,Z86,1.571,6291,889
Z270,Z94,1.76,7512,1089
Z270,Z115,2.454,4163,760
Z270,Z126,1.535,8170,928
Z270,Z148,0.392,2892,481
Z270,Z153,1.007,6320,681
Z270,Z186,0.315,2764,395
Z270,Z192,2.047,8319,931
Z270,Z194,1.928,6482,1011
Z270,Z204,6.687,38634,2857
Z270,Z221,0.507,3439,867
Z270,Z228,0.8,5588,926
Z270,Z237,1.071,4841,871
Z270,Z250,0.353,2907,679
Z270,Z256,0.846,3734,934
Z270,Z259,1.33,8088,1146
Z270,Z263,3.474,4700,982
Z270,Z325,-0.056,1181,256
Z270,Z334,0.505,4554,805
Z270,Z343,0.641,3984,796
Z270,Z361,0.259,2194,433
Z270,Z402,0.039,2495,562
Z271,Z25,0.836,7657,1148
Z271,Z69,0.132,1066,231
Z271,Z119,-0.187,2968,652
Z271,Z148,1.798,10576,1578
Z271,Z193,0.526,6930,1065
Z271,Z240,0.762,4555,869
Z271,Z343,1.012,5342,998
Z271,Z358,11.486,16100,2047
Z271,Z363,0.596,5907,996
Z271,Z367,0.943,9579,1190
Z271,Z396,0.125,937,253
Z272,Z74,0.548,2577,569
Z272,Z194,5.963,7772,2013
Z273,Z79,4.859,5176,796
Z273,Z134,0.361,2847,593
Z273,Z193,2.307,7823,1233
Z273,Z256,0.932,1919,386
Z273,Z265,0.116,1870,449
Z275,Z6,0.978,4651,959
Z275,Z24,0.156,575,121
Z275,Z72,1.291,7360,1153
Z275,Z97,2.699,6067,841
Z275,Z103,0.127,1854,373
Z275,Z144,0.6,6732,1147
Z275,Z221,0.763,7711,1267
Z275,Z230,0.676,6572,1104
Z275,Z233,0.587,1134,219
Z275,Z251,0.956,7689,1418
Z275,Z308,0.137,4430,900
Z275,Z331,1.362,2767,645
Z275,Z337,-0.038,2885,610
Z275,Z364,2.305,11573,979
Z276,Z5,2.792,12849,1528
Z276,Z9,0.579,3769,746
Z276,Z20,1.829,5348,1036
Z276,Z139,0.583,3449,670
Z276,Z146,1.685,6987,951
Z276,Z181,0.612,2355,566
Z276,Z247,1.7,6800,900
Z276,Z262,2.13,8433,1131
Z276,Z293,1.723,6845,931
Z276,Z296,2.217,4736,1071
Z276,Z395,0.489,1277,213
Z276,Z397,0.999,2763,639
Z277,Z65,0.574,2206,540
Z277,Z97,1.211,5600,693
Z277,Z110,3.27,3808,753
Z277,Z159,2.768,2760,798
Z277,Z319,1.68,6279,734
Z279,Z68,5.45,14076,1725
Z279,Z177,2.163,12176,1490
Z279,Z191,2.219,12391,1560
Z279,Z253,1.596,4875,830
Z279,Z263,1.35,4093,713
Z279,Z289,0.357,1467,310
Z279,Z290,3.245,6378,1203
Z279,Z310,0.518,2489,524
Z279,Z312,2.476,5219,948
Z279,Z320,0.509,2189,403
Z279,Z340,0.765,3513,695
Z279,Z345,2.839,7574,1025
Z279,Z397,0,0,0
Z280,Z115,2.57,7235,1106
Z280,Z117,1.403,3751,689
Z280,Z118,3.711,7656,1224
Z282,Z4,0.46,3308,578
Z282,Z9,0.814,5177,902
Z282,Z68,0.138,846,194
Z282,Z70,0.174,1370,322
Z282,Z119,0.672,5524,963
Z282,Z129,0.143,2275,353
Z282,Z146,1.841,14006,1681
Z282,Z193,2.811,6110,965
Z282,Z234,2.283,9215,1188
Z282,Z282,2.893,6976,1168
Z282,Z294,0.224,6664,1164
Z282,Z350,0.419,6431,1152
Z283,Z22,0.308,4723,880
Z283,Z181,0.357,5171,924
Z283,Z194,0.414,4892,949
Z283,Z247,0,0,0
Z284,Z38,0.102,946,252
Z284,Z191,0.351,5120,940
Z284,Z315,0.194,1881,401
Z285,Z301,0.857,2389,469
Z287,Z45,3.532,4495,838.3
Z287,Z103,8.726,46736,3265
Z287,Z289,1.44,7129,959
Z289,Z98,0.677,4587,443
Z289,Z192,4.03,7058,989
Z289,Z269,0.594,3357,614
Z289,Z279,0.7,2281,313
Z289,Z287,1.555,3076,587
Z289,Z289,1.994,3787,515
Z289,Z314,1.694,8295,846
Z289,Z371,0.552,1934,262
Z290,Z279,0.691,2510,414
Z291,Z17,0.637,4011,585
Z292,Z12,3.503,11118,1303
Z292,Z27,1.082,5781,693
Z292,Z74,1.344,5183,782
Z292,Z98,4.852,13418,1756
Z292,Z141,2.66,4125,616
Z292,Z181,0.162,649,135
Z292,Z186,2.127,8465,1319
Z292,Z204,0.262,3097,481
Z292,Z261,12.145,16196,1898
Z292,Z263,0.658,5234,736
Z292,Z270,1.157,2602,420
Z292,Z293,2.045,9397,1105
Z292,Z296,0.437,1612,272
Z292,Z308,1.428,7333,882
Z292,Z322,6.304,9894,1315
Z292,Z337,0.308,1813,310
Z292,Z383,0.21,1528,263
Z293,Z19,1.697,9979,982
Z293,Z21,0.874,5807,818
Z293,Z24,0.618,3786,607
Z293,Z35,1.054,4597,738
Z293,Z72,0.734,2665,453
Z293,Z103,0.331,2140,309
Z293,Z126,2.191,9752,1669
Z293,Z154,1.043,8747,1231
Z293,Z186,1.284,9328,1328
Z293,Z229,0.539,6986,851
Z293,Z233,0.59,7235,956
Z293,Z270,-0.209,2086,369
Z293,Z292,0.713,8005,1121
Z293,Z312,0,0,0
Z293,Z315,0.529,7373,1001
Z293,Z325,0.136,4583,649
Z293,Z337,3.612,17675,2115
Z293,Z349,3.275,14778,1264
Z293,Z389,1.599,6830,615
Z294,Z44,1.692,3535,529
Z294,Z59,1.282,4660,650
Z294,Z73,2.796,8102,814
Z294,Z127,2.027,6573,842
Z294,Z145,0.981,3698,614
Z294,Z157,4.794,9960,1346
Z294,Z282,0.769,2541,494
Z294,Z294,3.026,5220,1064
Z294,Z320,2.362,4344,843
Z294,Z371,0.401,1961,403
Z294,Z402,5.489,12180,1508
Z295,Z59,1.742,6570,907
Z295,Z67,0.728,3353,586
Z295,Z94,1.136,5323,721
Z295,Z186,1.309,5328,831
Z295,Z201,0.982,1979,419
Z296,Z6,0.96,4145,621
Z296,Z21,0.802,2853,406
Z296,Z23,0.77,3804,546
Z296,Z69,0.525,3146,555
Z296,Z70,1.713,7727,1090
Z296,Z95,2.666,5224,1002
Z296,Z102,-0.481,2396,507
Z296,Z115,0.516,7736,1275
Z296,Z154,3.639,19539,2278
Z296,Z169,0.334,3297,596
Z296,Z180,2.194,2087,544
Z296,Z189,0.476,7916,1459
Z296,Z240,5.684,22585,2639
Z296,Z248,0.865,1571,245
Z296,Z270,0.885,7010,1210
Z296,Z321,1.617,7760,914
Z296,Z334,3.633,15006,1845
Z296,Z346,2.088,9139,1201
Z296,Z394,1.78,8850,1116
Z297,Z8,2.053,8448,1314
Z297,Z193,1.912,9095,1204
Z297,Z298,2.052,9018,1024
Z298,Z71,2.217,14243,1776
Z298,Z149,2.254,14470,1832
Z298,Z174,2.862,15475,1872
Z298,Z297,1.405,12343,2130
Z298,Z308,3.548,27288,2769
Z299,Z240,1.131,11552,1840
Z300,Z89,0.559,6947,1246
Z300,Z133,6.514,14363,3123
Z300,Z192,0.597,7296,1323
Z300,Z320,0.519,10055,1375
Z300,Z327,0.041,2326,379
Z300,Z367,0,0,0
Z300,Z398,0.292,2547,499
Z301,Z133,0.004,7043,1237
Z302,Z292,-0.085,3256,631
Z303,Z292,5.031,24181,2613
Z306,Z117,-0.051,3417,617
Z308,Z10,4.634,21750,2925
Z308,Z53,0.268,6230,1001
Z308,Z133,0.741,6242,1086
Z308,Z144,4.185,7243,1108
Z308,Z230,2.437,6206,853
Z308,Z275,2.788,12972,1320
Z308,Z292,1.218,5781,829
Z308,Z298,0.919,2271,407
Z308,Z308,0.641,3697,520
Z308,Z318,1.37,5119,751
Z308,Z326,6.751,28560,2619
Z308,Z333,1.534,6835,907
Z308,Z353,1.465,4876,648
Z308,Z361,2.764,3193,643
Z308,Z395,0.37,661,104
Z308,Z401,0.13,2264,496
Z308,Z402,2.07,2287,446
Z309,Z23,2.746,5518,1138
Z309,Z45,1.737,8333,1065
Z309,Z59,0.322,2110,544
Z309,Z79,2.254,9353,1297
Z309,Z87,0.387,3507,523
Z309,Z91,-0.019,609,113
Z309,Z148,0.771,1362,265
Z309,Z168,0.142,1218,328
Z309,Z229,-0.019,1069,345
Z309,Z252,-0.074,7543,1375
Z309,Z266,-0.124,7634,1354
Z309,Z310,3.463,3892,779
Z309,Z320,0.361,2878,545
Z309,Z394,2.117,9619,1185
Z309,Z395,0.854,3467,572
Z310,Z118,1.56,3954,578
Z310,Z191,0.708,1835,355
Z310,Z208,0.592,3357,486
Z310,Z279,0,0,0
Z310,Z309,0.671,4015,681
Z310,Z339,1.184,2635,469
Z310,Z398,1.08,5331,946
Z311,Z46,0.086,4265,773
Z311,Z91,5.226,12024,2009
Z311,Z320,0.206,4140,730
Z312,Z23,0.419,723,250
Z312,Z279,0.995,8644,1188
Z312,Z293,0.355,3860,761
Z312,Z374,0.118,4501,813
Z313,Z66,2.494,5885,959
Z313,Z148,1.886,6092,991
Z313,Z179,0.487,3077,491
Z313,Z313,0.36,2273,446
Z313,Z367,0.68,3895,668
Z314,Z78,0.705,2297,388
Z314,Z83,1.269,6467,745
Z314,Z91,0.146,1585,248
Z314,Z113,2.08,8896,1005
Z314,Z156,0.325,1245,260
Z314,Z289,0.889,4807,896
Z314,Z343,0.328,2338,352
Z314,Z346,0.31,7219,1482
Z314,Z385,4.746,31471,2750
Z315,Z95,0.143,4792,995
Z315,Z143,0.998,2800,509
Z315,Z146,0.029,2148,593
Z315,Z181,4.796,21315,2701
Z315,Z193,4.283,7554,1118
Z315,Z284,1.832,4176,836
Z315,Z293,0.156,910,259
Z315,Z334,0.414,1520,490
Z315,Z390,1.573,5669,833
Z316,Z170,0.83,4453,503
Z316,Z191,0,0,0
Z317,Z265,3.848,11052,1400
Z318,Z97,1.004,4647,637
Z318,Z105,1.323,4283,511
Z318,Z123,3.631,7452,1040
Z318,Z308,3.896,6558,978
Z318,Z333,1.778,6333,919
Z318,Z395,1.872,4950,572
Z319,Z23,1.133,4090,450
Z319,Z134,1.003,3511,750
Z319,Z145,0.531,2354,268
Z319,Z191,2.485,4896,696
Z319,Z196,2.101,4521,708
Z319,Z277,3.53,5389,888
Z319,Z319,0.817,3751,590
Z319,Z335,4.979,7711,1221
Z319,Z343,2.488,7078,1291
Z320,Z17,1.131,4582,652
Z320,Z19,1.456,4114,542
Z320,Z22,1.227,4588,739
Z320,Z40,2.561,5684,1116
Z320,Z66,0.566,1770,422
Z320,Z67,4.641,7454,1153
Z320,Z73,3.202,6745,1393
Z320,Z89,0.541,1726,338
Z320,Z130,2.768,12484,1087
Z320,Z134,1.103,3445,592
Z320,Z135,2.638,4376,809
Z320,Z151,0.499,4179,675
Z320,Z200,7.411,13886,2031
Z320,Z236,1.503,6386,1141
Z320,Z247,0.418,2568,532
Z320,Z252,1.223,6437,1025
Z320,Z255,0.536,3538,581
Z320,Z262,0.998,5294,902
Z320,Z309,0.678,4265,809
Z320,Z311,0.869,4676,769
Z320,Z395,1.9,8276,1158
Z320,Z398,0.358,4321,702
Z321,Z59,0.74,1924,368
Z321,Z148,0.327,3416,601
Z321,Z394,0.692,1890,379
Z322,Z98,2.711,7238,1340
Z322,Z116,1.411,6448,1005
Z322,Z133,3.852,12367,1506
Z322,Z181,3.506,4850,669
Z322,Z263,4.947,10421,1345
Z322,Z264,2.541,7512,1059
Z322,Z292,3.148,5205,933
Z322,Z296,0.9,3567,591
Z322,Z325,1.279,1939,216
Z322,Z401,0.61,2759,537
Z323,Z98,2.459,7443,967
Z323,Z250,1.204,2502,349
Z323,Z265,1.948,4720,751
Z324,Z250,2.542,10488,1265
Z324,Z267,1.274,2966,447
Z324,Z351,0.94,4636,763
Z324,Z353,1.532,5967,800
Z325,Z12,1.582,5562,713
Z325,Z23,1.536,6671,882
Z325,Z43,2.055,4597,601
Z325,Z70,3.673,7991,1354
Z325,Z73,1.805,3308,439
Z325,Z94,1.052,2261,325
Z325,Z101,0.856,4495,778
Z325,Z131,1.184,4784,590
Z325,Z139,1.856,7930,991
Z325,Z143,1.478,5495,1004
Z325,Z144,1.494,6385,848
Z325,Z159,1.313,5616,684
Z325,Z180,1.911,5140,812
Z325,Z189,1.988,4209,672
Z325,Z196,0.618,3639,690
Z325,Z202,0,0,0
Z325,Z204,2.753,11363,1188
Z325,Z226,3.919,10040,1140
Z325,Z237,0.602,3376,587
Z325,Z240,1.36,5454,966
Z325,Z242,0.936,4456,591
Z325,Z248,3.376,10278,1180
Z325,Z255,2.869,5506,911
Z325,Z256,0.349,2570,571
Z325,Z263,1.29,3389,629
Z325,Z269,2.971,8590,1057
Z325,Z272,1.535,8903,928
Z325,Z276,2.091,6256,1083
Z325,Z322,2.288,13662,1581
Z325,Z325,0.838,2845,501
Z325,Z333,1.884,3539,665
Z325,Z338,0.788,2229,414
Z325,Z343,1.201,5877,915
Z325,Z349,0.871,4327,787
Z325,Z367,3.254,5939,757
Z325,Z391,1.021,6514,832
Z325,Z394,2.683,12196,1344
Z326,Z117,1.18,6036,787
Z326,Z260,1.387,6959,881
Z326,Z308,1.143,5915,598
Z326,Z367,1.406,9646,1244
Z327,Z43,3.405,16154,1859
Z327,Z60,0.987,2373,421
Z327,Z154,1.044,1467,256
Z327,Z158,0.666,6294,1104
Z327,Z222,0.382,5385,906
Z327,Z248,0.816,6346,1128
Z327,Z346,0.788,10977,1370
Z327,Z347,-0.1,1943,376
Z328,Z98,5.07,5852,1622
Z328,Z186,0.139,3854,719
Z328,Z192,-0.09,1947,367
Z328,Z193,0.631,5548,1003
Z328,Z398,0.898,7535,1023
Z329,Z341,2.076,14563,1872
Z329,Z372,0.487,7460,1402
